iter	Logloss
0	0.3478109641
1	0.1922439218
2	0.1153749901
3	0.08230543549
4	0.06697831511
5	0.05999502959
6	0.05466202735
7	0.05102206931
8	0.04524738994
9	0.04284480421
10	0.04071125303
11	0.03964554365
12	0.03882696111
13	0.03795208166
14	0.03751222056
15	0.03600016429
16	0.03536813287
17	0.03464228354
18	0.03416649616
19	0.03342327921
20	0.03307885868
21	0.03253349211
22	0.03205598875
23	0.03116349426
24	0.03082004047
25	0.03050481119
26	0.03026978078
27	0.02996572772
28	0.02934755967
29	0.02915533541
30	0.02883470074
31	0.02866642289
32	0.02823268304
33	0.0280593969
34	0.02780730403
35	0.02759438342
36	0.02742692197
37	0.02728342621
38	0.02709744896
39	0.02669243463
40	0.0265590102
41	0.02646521213
42	0.02639428489
43	0.02618728312
44	0.0261605353
45	0.02603992364
46	0.02589912826
47	0.02582538671
48	0.02552625217
49	0.02534084463
50	0.02531189301
51	0.02509791404
52	0.02495567319
53	0.02466025528
54	0.02451312627
55	0.02431089283
56	0.02411135347
57	0.02388292127
58	0.02381202166
59	0.02374584751
60	0.02368618061
61	0.02363896582
62	0.0235135112
63	0.02348094536
64	0.02339166542
65	0.02338456131
66	0.02327141016
67	0.02312962805
68	0.02305328814
69	0.02298897663
70	0.02286623513
71	0.02272562187
72	0.02265214296
73	0.02260068354
74	0.02251245335
75	0.02242944207
76	0.02240190679
77	0.0223819627
78	0.02227821746
79	0.02226861933
80	0.02219081293
81	0.0221907608
82	0.02214663695
83	0.02203833856
84	0.02199361979
85	0.02197207575
86	0.0218615074
87	0.02181439883
88	0.02174556412
89	0.0216614229
90	0.02163116747
91	0.02148158483
92	0.02142981143
93	0.02136256965
94	0.02136255954
95	0.02125967264
96	0.02124313038
97	0.02120531723
98	0.02117947527
99	0.02113717588
100	0.02111693958
101	0.02109596245
102	0.02105558595
103	0.02101688178
104	0.02091730917
105	0.02090136883
106	0.02082676856
107	0.02080528249
108	0.02078185875
109	0.02076568496
110	0.02066036857
111	0.02063626859
112	0.02057970935
113	0.02054702832
114	0.02051876816
115	0.0204525322
116	0.0203817497
117	0.02034841111
118	0.02031401924
119	0.02030611561
120	0.02030019168
121	0.02029425335
122	0.02024198114
